,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
1011419,2021-04-27,PI,Acauã,city,175,1,329,True,7084.0,7102.0,2200053.0,2464.09462,0.0057
1011748,2021-04-27,PI,Agricolândia,city,332,3,321,True,5139.0,5131.0,2200103.0,6470.47359,0.009
1012069,2021-04-27,PI,Alagoinha do Piauí,city,256,9,335,True,7651.0,7665.0,2200251.0,3339.8564899999997,0.0352
1012404,2021-04-27,PI,Alegrete do Piauí,city,460,5,317,True,4915.0,4918.0,2200277.0,9353.395690000001,0.0109
1012721,2021-04-27,PI,Alto Longá,city,541,13,351,True,14304.0,14339.0,2200301.0,3772.9269799999997,0.024
1013072,2021-04-27,PI,Altos,city,3705,69,378,True,40524.0,40605.0,2200400.0,9124.492059999999,0.0186
1013450,2021-04-27,PI,Alvorada do Gurguéia,city,272,8,369,True,5419.0,5445.0,2200459.0,4995.40863,0.0294
1013819,2021-04-27,PI,Amarante,city,1266,30,361,True,17598.0,17604.0,2200509.0,7191.54738,0.0237
1014180,2021-04-27,PI,Angical do Piauí,city,461,8,375,True,6788.0,6783.0,2200608.0,6796.402770000001,0.0174
1014555,2021-04-27,PI,Antônio Almeida,city,400,10,304,True,3164.0,3170.0,2200806.0,12618.29653,0.025
1014859,2021-04-27,PI,Anísio de Abreu,city,284,8,368,True,9880.0,9938.0,2200707.0,2857.71785,0.0282
1015227,2021-04-27,PI,Aroazes,city,518,12,364,True,5835.0,5827.0,2200905.0,8889.65162,0.0232
1015591,2021-04-27,PI,Aroeiras do Itaim,city,97,1,299,True,2551.0,2551.0,2200954.0,3802.43042,0.0103
1015890,2021-04-27,PI,Arraial,city,137,2,247,True,4727.0,4720.0,2201002.0,2902.54237,0.0146
1016137,2021-04-27,PI,Assunção do Piauí,city,285,6,317,True,7846.0,7863.0,2201051.0,3624.5707700000003,0.0211
1016454,2021-04-27,PI,Avelino Lopes,city,303,17,345,True,11289.0,11326.0,2201101.0,2675.26046,0.0561
1016799,2021-04-27,PI,Baixa Grande do Ribeiro,city,1900,19,356,True,11586.0,11671.0,2201150.0,16279.66755,0.01
1017155,2021-04-27,PI,Barra D'Alcântara,city,104,3,309,True,3951.0,3952.0,2201176.0,2631.57895,0.0288
1017464,2021-04-27,PI,Barras,city,4030,79,366,True,47066.0,47185.0,2201200.0,8540.84985,0.0196
1017830,2021-04-27,PI,Barreiras do Piauí,city,59,1,340,True,3348.0,3352.0,2201309.0,1760.1432,0.0169
1018170,2021-04-27,PI,Barro Duro,city,595,9,338,True,7032.0,7027.0,2201408.0,8467.340259999999,0.0151
1018508,2021-04-27,PI,Batalha,city,855,30,359,True,26857.0,26905.0,2201507.0,3177.84798,0.0351
1018867,2021-04-27,PI,Bela Vista do Piauí,city,228,6,348,True,4015.0,4030.0,2201556.0,5657.56824,0.0263
1019215,2021-04-27,PI,Belém do Piauí,city,416,7,344,True,3566.0,3587.0,2201572.0,11597.43518,0.0168
1019559,2021-04-27,PI,Beneditinos,city,816,29,359,True,10467.0,10473.0,2201606.0,7791.46376,0.0355
1019918,2021-04-27,PI,Bertolínia,city,736,10,360,True,5501.0,5507.0,2201705.0,13364.80843,0.0136
1020278,2021-04-27,PI,Betânia do Piauí,city,155,2,373,True,6205.0,6210.0,2201739.0,2495.97424,0.0129
1020651,2021-04-27,PI,Boa Hora,city,462,5,364,True,6781.0,6815.0,2201770.0,6779.16361,0.0108
1021015,2021-04-27,PI,Bocaina,city,233,3,341,True,4500.0,4505.0,2201804.0,5172.03108,0.0129
1021356,2021-04-27,PI,Bom Jesus,city,2665,29,369,True,25179.0,25387.0,2201903.0,10497.49872,0.0109
1021725,2021-04-27,PI,Bom Princípio do Piauí,city,108,9,376,True,5630.0,5651.0,2201919.0,1911.16617,0.0833
1022101,2021-04-27,PI,Bonfim do Piauí,city,269,5,378,True,5670.0,5685.0,2201929.0,4731.75022,0.0186
1022479,2021-04-27,PI,Boqueirão do Piauí,city,470,7,326,True,6407.0,6426.0,2201945.0,7314.03673,0.0149
1022805,2021-04-27,PI,Brasileira,city,455,8,337,True,8329.0,8347.0,2201960.0,5451.06026,0.0176
1023142,2021-04-27,PI,Brejo do Piauí,city,60,3,298,True,3875.0,3848.0,2201988.0,1559.25156,0.05
1023440,2021-04-27,PI,Buriti dos Lopes,city,1152,22,367,True,19781.0,19807.0,2202000.0,5816.12561,0.0191
1023807,2021-04-27,PI,Buriti dos Montes,city,528,6,343,True,8244.0,8264.0,2202026.0,6389.15779,0.0114
1024150,2021-04-27,PI,Cabeceiras do Piauí,city,442,10,344,True,10586.0,10630.0,2202059.0,4158.04327,0.0226
1024494,2021-04-27,PI,Cajazeiras do Piauí,city,37,1,340,True,3559.0,3573.0,2202075.0,1035.5443599999999,0.027
1024834,2021-04-27,PI,Cajueiro da Praia,city,466,15,329,True,7642.0,7674.0,2202083.0,6072.45244,0.0322
1025163,2021-04-27,PI,Caldeirão Grande do Piauí,city,269,2,340,True,5776.0,5781.0,2202091.0,4653.17419,0.0074
1025503,2021-04-27,PI,Campinas do Piauí,city,159,1,335,True,5613.0,5620.0,2202109.0,2829.18149,0.0063
1025838,2021-04-27,PI,Campo Alegre do Fidalgo,city,78,1,336,True,5045.0,5069.0,2202117.0,1538.76504,0.0128
1026174,2021-04-27,PI,Campo Grande do Piauí,city,439,4,348,True,5943.0,5965.0,2202133.0,7359.59765,0.0091
1026522,2021-04-27,PI,Campo Largo do Piauí,city,402,5,341,True,7279.0,7311.0,2202174.0,5498.563810000001,0.0124
1026863,2021-04-27,PI,Campo Maior,city,4720,115,390,True,46833.0,46893.0,2202208.0,10065.468190000001,0.0244
1027253,2021-04-27,PI,Canavieira,city,143,5,231,True,3950.0,3944.0,2202251.0,3625.76065,0.035
1027484,2021-04-27,PI,Canto do Buriti,city,827,29,368,True,21187.0,21258.0,2202307.0,3890.3001200000003,0.0351
1027852,2021-04-27,PI,Capitão Gervásio Oliveira,city,57,3,342,True,4100.0,4114.0,2202455.0,1385.51288,0.0526
1028194,2021-04-27,PI,Capitão de Campos,city,727,22,344,True,11417.0,11445.0,2202406.0,6352.118829999999,0.0303
1028538,2021-04-27,PI,Caracol,city,284,9,380,True,10916.0,10964.0,2202505.0,2590.29551,0.0317
1028918,2021-04-27,PI,Caraúbas do Piauí,city,185,7,335,True,5868.0,5890.0,2202539.0,3140.91681,0.0378
1029253,2021-04-27,PI,Caridade do Piauí,city,481,4,325,True,5067.0,5085.0,2202554.0,9459.19371,0.0083
1029578,2021-04-27,PI,Castelo do Piauí,city,841,21,370,True,19716.0,19715.0,2202604.0,4265.78747,0.025
1029948,2021-04-27,PI,Caxingó,city,137,1,330,True,5424.0,5451.0,2202653.0,2513.30031,0.0073
1030278,2021-04-27,PI,Cocal,city,907,27,359,True,27787.0,27845.0,2202703.0,3257.31729,0.0298
1030637,2021-04-27,PI,Cocal de Telha,city,347,10,355,True,4891.0,4899.0,2202711.0,7083.0781799999995,0.0288
1030992,2021-04-27,PI,Cocal dos Alves,city,252,6,361,True,6153.0,6168.0,2202729.0,4085.60311,0.0238
